岗位名称,薪资待遇,实习时长,工作描述,学历要求,招聘人数,发布时间,公司名称,公司规模,工作地点,企业领域
实习生储备干部（技术储备岗）,5-8K/月,6个月,"弘景光电科技股份有限公司（准上市企业），专注于生产手机镜头、光学镜头、摄影投影机、VR眼镜、安防监控等产品，现因企业发展需要，面向社会诚招储备干部，为上市提前储备管理人才，期待您的加入，与企业共同成长！
[工作类型]
外观检测、测试、组装、设备操作、品质检验等，两班倒坐班制，工作环境为无尘衣空调车间。",大专,60,2025-06-10 10:42,弘景光电,1001~3000人,广东,IT|通信|电子
大专生实习岗月薪5-7K上市公司包吃包住,5-7K/月,4个月,"实习生预招岗位，3月底开始办理实习入职(可提前报名)

公司主要生产:光学镜头，投影机，VR眼镜，安防监控等

工作类型:独立岗坐班，拉物料，打包装，外观，测试，组装，开机，质检等",大专,50,2025-06-06 15:02,联合光电,1001~3000人,广东,IT|通信|电子
前台实习生,3-5K/月,3个月,"1.负责公司前台接待访客，并及时准确通知被访人员；
2.及时接听转接电话，记录留言,并及时转达；
3.快递的收发并做好登记管理，按月统计费用成本；
4.办公用品的采购与管理；
5.制作员工名片及各部门印刷品；
6.负责差旅车票、机票、酒店的预定；
7.办公环境及硬件设备的排查和维护；
8.协助办理员工入离职手续；
9.企业文化活动协助；
10.完成主管交待的其他工作。",大专,2,2025-06-26 07:30,智航软件,51~100人,广东,互联网|游戏|软件
会话质检实习生,140-160元/天,3个月,"岗位职责:<br/><P>上市以来，凡科通过为企业用户提供多元、高效、易用的互联网工具，已帮助了越来越多的企业有效降低了运营成本。随着凡科规模的进一步扩大，我们期待着更多新鲜血液的加入！<br/><br/>现需要招聘会话质检实习生，为此，我们声明如下！<br/>☆ 弹性打卡，节假日前错峰上下班，享受假期<br/>☆ 仪式满满的节日活动，感受节日氛围<br/>☆ 羽毛球、篮球、足球等每周体育活动一起嗨，给健康加满分<br/>☆ 美味下午茶，减肥是不可能的了<br/><br/>「你将会负责」<br/>1、负责销售会话质检工作，并对AI质检结果进行人工复核，确保判断的准确性；<br/>2、记录并反馈复核过程中发现的问题，协助优化AI质检模型；<br/>3、根据项目需求，完成其他与质检相关的辅助工作。</P> 
<br/>任职资格:<br/><P>「我们希望你」<br/>1、大专及以上学历，能每周按实际排班全勤到岗2-3天，实习3个月左右，具体将视工作量调整出勤时间和实习周期；<br/>2、工作积极主动、学习能力强、执行力强；<br/>3、细心严谨，责任心强，对工作认真负责，能够发现细节问题；<br/>4、有良好的解决问题能力、语言表达能力和综合协调能力。</P>",大专,1,2025-06-10 18:47,凡科,301~1000人,广东,互联网|游戏|软件
设计助理实习生（小红书）,140-160元/天,3个月,"上市以来，凡科通过为企业用户提供多元、高效、易用的互联网工具，已帮助了越来越多的企业有效降低了运营成本。随着凡科规模的进一步扩大，我们期待着更多新鲜血液的加入！

现需要招聘设计助理实习生，为此，我们声明如下！
☆ 弹性打卡，节假日前错峰上下班，享受假期
☆ 仪式满满的节日活动，感受节日氛围
☆ 羽毛球、篮球、足球等每周体育活动一起嗨，给健康加满分
☆ 美味下午茶，减肥是不可能的了

「你将会负责」
1、根据给定文案批量完成小红书封面和配图设计；
2、完成上级安排的其他工作事宜。

PS：投递简历时务必附上相关作品展示！",大专,2,2025-06-10 18:47,凡科,301~1000人,广东,互联网|游戏|软件
短视频采买,150-180元/天,6个月,负责美妆短视频内容寻找并完成采买执行工作。,本科,5,2025-06-20 10:09,都美,101~300人,北京,快速消费品
活动策划实习生,100-150元/天,3个月,"1、协助参与GCC、高校创业类活动及创业大赛项目的传播与执行工作；
2、活动现场的协助传播、管理工作；
3、协助参与项目传播基础制度建设（整理、归纳文档；协助拟写工作制度、手册等文字工作）；
4、项目日常资源维护，各线上线下保持活跃度；
5、完成临时交办的任务。",本科,1,2025-06-27 14:35,上海创业力传播中心,11~50人,上海,政府/非盈利机构/其他
项目执行实习生,100-150元/天,3个月,"1、协助参与GCC、高校创业类活动及创业大赛项目的传播与执行工作；
2、活动现场的协助传播、管理工作；
3、协助参与项目传播基础制度建设（整理、归纳文档；协助拟写工作制度、手册等文字工作）；
4、项目日常资源维护，各线上线下保持活跃度；
5、完成临时交办的任务。",本科,1,2025-06-27 14:35,上海创业力传播中心,11~50人,上海,政府/非盈利机构/其他
运营实习生,100-120元/天,3个月,"（1）负责企业官网、公众号日常运维，包括但不限于原创推送撰写、页面维护更新、数据管理等工作；
（2）协助部门负责人进行活动策划、方案撰写等工作；
（2）协助部门负责人进行企业宣传册、宣传片制作工作；
（3）能够独立完成基础的视觉设计工作，海报、推送排版等。",本科,2,2025-06-30 09:25,北京大数据研究院,51~100人,北京,教育培训
助理工程师,150-200元/天,6个月,"1、负责公司产品质量的检验、统计、汇总。
2、协助工程师整理编写汇总公司生产技术文件。
3、协助公司电子元器件、半成品的检测。
4、协助检验产品可靠性及不合格品的控制，并对不合格品进行维修。
5、参与产品非标设计研发、图纸设计及产品试样",大专,3,2025-07-02 09:32,宝徕,11~50人,上海,汽车|机械|制造
AI实习生,150-300元/天,6个月,"（北京Onsite实习）AI算法/开发/LLM/TTS实习生招聘
  
我们是谁——
我们是一家致力于女性向AI情趣互动智能硬件产品的创业企业，面向海外市场。团队成员来自清华、北大、海外高校，曾在互联网大厂、海外独角兽创业公司、知名投资机构等任职。
  
希望你——
1、海内外知名高校（如QS100）计算机、人工智能相关专业；
2、具备互联网大厂、创业公司等AI算法/工程实习经验，具备较强的实操能力，可以快速上手；
3、有在NLP大模型领域（如模型微调、推理加速、强化学习等）的相关研究；
4、责任心、好奇心强，对研究问题具备探索欲。
  
我们提供——
1、实习薪资：300元/天（试用期薪资50%）；
2、地点：北京市海淀区（Onsite实习）；
3、实习期：至少5天/周，至少实习6个月；
4、庭院式办公环境，专业的mentor指导，成为未来核心成员的机会。",硕士,2,2025-07-02 14:40,Sensa.ai,10人以内,北京,互联网|游戏|软件
设计实习生,90-100元/天,6个月,"工作内容：
1、辅助、配合时装组、美术组、视频组开展工作；
2、配合各组的工作安排，参与线上线下的内容策划、设计与执行;
3、配合活动安排，参与组织、执行与协调;
4、配合新媒体公众号、微博、小红书、抖音等进行内容的策划、产出与发布执行;",本科,2,2025-07-01 11:02,上城士,11~50人,北京,广告|传媒|文化|体育
AI图像算法公司运营助理，盖章实习证明，刷项目经验,面议,1个月,"我们这个岗位是负责我们公司的app路径验证和线上线下推广的。
路径验证是指，我们目前想验证一个想法，就是开发一款共享办公室空闲工位的app。但是我们不知道能不能成功。所以我们就先由人工来试着运营，后期再转为算法运营。
由人工在线上线下发布本公司闲置工位的招租信息。这些工位大概定位在30元一天左右，如果你成功的将工位推广日租出去，那么你将得到日租的1/3作为报酬。
然后我们根据你的推广情况，再来决定怎么研发app。以此来验证这个共享日租工位的想法是否成熟和可行。
我们目前有八个工位。你如果你最近觉得呆在家里无聊，而且人就在我们公司附近的话，可以来我们的办公室办公或者自习备考。我们的实习生可以免费使用我们的办公室。当然也可以远程办公，远程面试。
线上推广就很简单了，我们现在需要推广的app有两个都是与人工智能图像生成相关的，叫《梦幻AI绘画》（工具类）和《样籽》（写真相机）。",不限,11,2025-07-01 21:51,四川鲜生夺人,10人以内,四川,互联网|游戏|软件
新媒体运营实习,面议,3个月,"工作内容：
1.抖音/小红书等平台基础内容整合，图片处理/基础剪辑，图文和视频发布；
2.负责账号数据统计和整理工作；
3.账号后台私信回复，与用户进行有效的互动；",大专,50,2025-06-26 17:48,弘星智慧,11~50人,四川,广告|传媒|文化|体育
战略与市场部实习生（运营、文案及展会支持）,100-120元/天,3个月,"1、协助市场经理编辑制作营销材料；
2、协助市场经理维护运营媒体矩阵和品牌展厅，收集分析营销数据；
3、参与市场活动策划，协助活动执行工作；
4、参与产品外观设计，协助市场经理把控公司VI在项目端和产品端的执行。",本科,1,2025-06-26 15:20,航臻科技,51~100人,北京,汽车|机械|制造
财务实习生,4-6K/月,长期,"1.审验原始凭证的合法性和准确性，完成现金收付、报销等工作;
2.负责银行业务的办理工作，包括开户、取款、转账、结算等工作;
3.做好现金日记账和银行存款日记账，及时登记核查;
4.根据企业经营管理需要，按照企业的相关规定提取、送存以及保管现金，以保证企业经营管理能顺利进行;
5.负责及时查询企业现金和银行存款，保证账务相符;
6.完成领导交给的其他业务。",大专,1,2025-06-26 07:30,出众集团,101~300人,广东,生活服务
招聘实习生,4-6K/月,长期,"1、负责接听应聘电话，跟进求职简历，邀约求职者到场面试并跟进维护；
2、选择并且维护招聘渠道，发布招聘职位；
3、负责职位发布、刷新、简历筛选，网路邀约面试，做好面试前后的跟踪，短信通知到面试者；
4、总结招聘工作中存在的问题及解决方案；
5、执行完成好上级安排的各工作事项；",大专,1,2025-06-26 07:30,出众集团,101~300人,广东,生活服务
销售实习生,6-8K/月,长期,"1、接听新客户的热线咨询，通过呼叫系统或微信、QQ等与客户保持良好联系沟通；
2、邀约客户来访考察项目，为客户解答加盟项目疑问，投资及市场分析，讲解品牌政策等信息（无须外出及应酬、无须面谈客户，有专人接待）；
3、定期电话回访，与老客户保持沟通，建立长期合作关系。",中专,15,2025-06-26 07:30,出众集团,101~300人,广东,生活服务
知识产权规划师（实习岗）,120-150元/天,6个月,"1.收集整理侵权新线索情报，完成日常检索工作；
2.负责对接业务部门维权需求，协助处理公司各类维权工作；
3.与各个部门及客户保持沟通，协调、跟进和推动维权工作的有效进行；
4.处理其他日常法律事务工作。",本科,5,2025-07-03 21:24,右上角,11~50人,上海,咨询/法律/人力资源
供应链实习生,100-160元/天,2个月,"1.负责发票、付款的登记打印，预制发票，负责付款的所有流程并整理相关付款资；
2.负责发票的收寄核对、入账处理；
3.采购工程师安排的其他工作内容。",本科,2,2025-06-04 18:12,江苏涵润,301~1000人,江苏,IT|通信|电子
人力实习生,100-160元/天,3个月,"1. 负责完成公司的招聘目标，快速满足各部门的招聘需求；
2. 候选人电话联系交流。",本科,1,2025-06-04 18:12,江苏涵润,301~1000人,江苏,IT|通信|电子
财务实习生,3-5K/月,3个月,"1. 建立健全会计科目，编制会计凭证，编制财务报表及相关报表；
2. 负责公司月度及年度的纳税申报,统计申报工作,并配合完成内、外部财务审计工作；
3. 负责开票审核、发票购买，增版增量等发票管理事项；
4. 负责公司账目的定期检查，包括往来账务的检查核对，核对应收、应付明细账目等；
5. 负责整理财务资料，打印会计报表，保证财务资料的整齐完整；",大专,5,2025-06-24 07:21,智航软件,51~100人,广东,互联网|游戏|软件
实习生（平面设计/新媒体）,100-120元/天,6个月,"岗位内容：
配合完成如宣传册制作、新媒体运营、会务展会组织等日常工作。


地址:上海市浦东新区水芸北路9弄C4楼3层
薪资：全勤 3000元/月（包午餐）
班车路线：
1号车   中山南二路28号（集散中心总站对面），经停万源路闵虹路公交车站
2号车   7号线/16号线/18号线龙阳路地铁站。",本科,2,2025-06-05 09:25,金服公司,11~50人,上海,金融
政府智库/政企公共关系实习生,150-200元/天,长期,"1. 研究、跟进国家及各地方相关政策法规、产业动态，与业务团队协同，支持有关资质、项目、荣誉的申请与落地；
2. 其他部门内相关支持工作。",硕士,1,2025-06-04 09:52,智车平台,51~100人,上海,汽车|机械|制造
时尚记者实习生（时尚-媒体-传媒）,面议,3个月,"本职位长期招聘，负责运营微信公众号“时尚传媒生活馆”，“时尚YES”和""时广新媒""矩阵的新媒体工作。

时尚传媒旗下办有《时尚COSMO》《时尚芭莎》《时尚先生》《男人装》《罗博报告》等多本时尚大刊。

本公司从未授权任何第三方机构或个人对外提供有偿的面试和工作机会，敬请留意。

收集资料，找图，撰写采访题纲，协助记者采访，撰写微信推文等。

本公司从未授权任何第三方机构或个人对外提供有偿的面试和工作机会，敬请留意。

附：所有面试通知将以“时广新媒”名义的电子邮件形式发送，请注意查收邮件，有时会被运营商分类的广告或垃圾箱，敬请注意。

该职位同时接受寒暑假实习和长期实习。",本科,5,2025-07-02 16:50,时尚传媒,301~1000人,广东,广告|传媒|文化|体育
媒介投放实习（时尚-媒体-传媒）,1999-2000元/天,3个月,"本职位长期招聘，负责时尚传媒官方电商号等新媒体运营工作。

北京时尚集团旗下办有《时尚COSMO》《时尚芭莎》《时尚先生》《男人装》《罗博报告》等多本时尚大刊。

本公司从未授权任何第三方机构或个人对外提供有偿的面试和工作机会，敬请留意。

1、有媒介投放及购买实习经验者优先
2、负责项目资料整理，资料收集与分析
3、负责项目内部沟通工作
4、协助上级完成项目执行工作式。
5、有达人投放，筛选、内容跟进，有经验者优先。
6、熟悉各平台KOL的人设、粉丝画像等情况，根据产品属性筛选KOL进行投放，并对效果负责；
7、跟踪投放数据及效果，进行数据运营及追踪，通过数据挖掘进行投放优化；",本科,5,2025-07-02 16:50,时尚传媒,301~1000人,广东,广告|传媒|文化|体育
国际关系，外交学,1999-2000元/天,3个月,"北京时尚传媒旗下办有《时尚COSMO》《时尚芭莎》《时尚先生》《男人装》《罗博报告》等多本时尚大刊。本职位长期招聘，负责运营时尚传媒旗舰电商平台和等新媒体工作。


本公司从未授权任何第三方机构或个人对外提供有偿的面试和工作机会，敬请留意。

工作职责:
1.参与跨国项目和国际产品的运营和策划工作。
2.负责与外国使领馆及企业国际事务部等进行沟通对接。
3.协助各媒体平台和粉丝群的运营工作。
4.负责其他交办事项。




附：所有面试通知将以“时尚广州”名义的电子邮件形式发送，请注意查收邮件，有时会被运营商分类的广告或垃圾箱，敬请注意。

该职位同时接受寒暑假实习和长期实习。",本科,5,2025-07-01 14:06,时尚传媒,301~1000人,广东,广告|传媒|文化|体育
社会学人类学实习生,面议,3个月,"本职位长期招聘，负责运营微信公众号“时尚传媒生活馆”，“时尚YES”和""时尚广州""矩阵的新媒体工作。

时尚传媒旗下办有《时尚COSMO》《时尚芭莎》《时尚先生》《男人装》《罗博报告》等多本时尚大刊。
1.协助新媒体平台运营工作，维护微信，微博，今日头条等；
2.运营集团旗下部分电商平台
3.协助运营粉丝群。
4.不会被困在电脑前整理资料，有机会跟记者外出采访，接触高端时尚生活方式。",本科,5,2025-06-28 13:31,时尚传媒,301~1000人,广东,广告|传媒|文化|体育
岗位名称,薪资待遇,实习时长,工作描述,学历要求,招聘人数,发布时间,公司名称,公司规模,工作地点,企业领域
线上运营志愿者（长期）,面议,3个月,"1. 后台投稿处理，及文章排版工作（公众号文章排版）
2. 作者相关工作：文章授权、作者要约和沟通
3. 网站运营相关工作：问答内容准备、文章评论等
4. 其他内容相关工作",大专,2,2025-07-03 17:41,人人都是产品经理,101~300人,广东,教育培训
信审实习生,150-180元/天,6个月,"1. 协助信审团队，对融资租赁项目涉及的企业资料进行信息梳理与核对，确保资料完整、数据准确；
2. 在公开平台进行信息查询与搜集，整理并总结关键内容，用于企业资质评估；
3. 完成上级交办的其他临时工作，协助团队推进日常业务。",本科,1,2025-07-02 12:07,亿多世,101~300人,广东,金融
市场实习生,150-200元/天,3个月,"1、根据项目特点撰写宣传文案；
2、能够进行英文资料翻译和日常的语言沟通；
3、配合完成项目相关的落地活动执行；
4、配合完成演出项目相关的营销策划；",本科,2,2025-07-04 10:09,四海一家,11~50人,北京,广告|传媒|文化|体育
棕榈资本2025实习生转正名额等你锁定！【投资实习生/分析师 - AI方向150/天】,145-150元/天,3个月,"【工作内容】

1、深度参与并挖掘早期AI创业项目，参与项目筛选或细分赛道的行业mapping与分析
2、与创业者、行业专家交流，一线感知AI创业和融资温度
3、完成行业研究，bp，datapack等融资相关材料",本科,5,2025-07-03 13:04,棕榈资本,11~50人,上海,金融
人力资源/hrbp实习生,50-100元/天,3个月,"1. 负责完成公司的招聘目标，快速满足各部门的招聘需求；
2. 每天开拓和维护各类招聘渠道，策划招聘文案，运营招聘维护公众号；
3. 候选人电话联系交流。",本科,5,2025-07-04 11:56,腾讯,3001人及以上,北京,互联网|游戏|软件
Intern – Recruiting Associate/招聘顾问,140-150元/天,4个月,"- Collaboration with the Associate team to support the project execution that allow us to produce talent & market analysis reports. Successfully managing projects will require excellent organization, documentation, and communication skills, and the ability to manage the process within a diversified team. Daily tasks will focus on organization, configuration, and documentation. 
协助团队参与项目，完成初步的人才市场分析报告。一个成功的项目需要良好的组织，书面报告制作，和沟通的能力，并且可以与不同的团队建立良好的合作关系。
- The Intern-Researcher Analyst works within the Associate team and reports to the different project leaders; collaborating across the different project teams working on Project Management, Talent Mapping, Market Analysis, and Data Collecting.
招聘顾问需要在日常工作中支持不同的项目负责人；参与并协作不同的管理、人才分析、市场分析和数据收集项目。",本科,1,2025-07-01 15:12,Amrop,1001~3000人,上海,咨询/法律/人力资源
Industry Research Assistant Intern,100-150元/天,长期,"Location: Shanghai or Hong Kong
Internship Type: Part-time (no less than 3 days per week)
Potential for Full-Time Offer: Yes

About the Role
We are seeking a highly motivated and detail-oriented Industry Research Assistant Intern to join our team. In this role, you will support our industry research team in organizing and analyzing internal data, understanding industry-specific nuances, and contributing to project reporting. This internship offers hands-on experience in industry analysis and talent research, with opportunities to participate in client meetings and candidate interviews.

Key Responsibilities
1. Assist the industry research team in organizing and updating internal data.
2. Analyze data to identify trends and insights across different industries.
3. Support the preparation of project reports and provide suggestions for improvement.
4. Participate in industry research projects, including client meetings and conversations with potential candidates.
5. Help compile and refine research findings into structured reports.
6. Demonstrate a strong interest in pursuing a long-term career in the talent advisory industry.",本科,2,2025-07-01 16:28,Amrop,1001~3000人,上海,咨询/法律/人力资源
新媒体实习生,150-200元/天,长期,"负责微信、微博、抖音、B站等自媒体平台的日常运营及推广工作；
思维敏捷、活跃，具有敏锐捕捉热点事件，策划热点事件能力，为粉丝策划与提供优质、有高度传播性的内容；
能够在知乎、微博、天涯、豆瓣、微信等各类互联网的论坛/社群与会员粉丝进行日常互动；
负责新媒体运营数据的统计汇总和分析，总结经验与策略调整。
定期策划热点话题及站内站外的线上活动；
负责公司线上品牌建设工作，包括品牌定位、品牌策略、品牌创意及宣传等；",本科,2,2025-07-04 10:09,四海一家,11~50人,北京,广告|传媒|文化|体育
实习编辑,100-120元/天,3个月,"1、负责公众号的内容排版，配图，等一应相关执行类工作；  
2、负责电商店铺的售前、售后等客服工作，在消费者和供应商之间做好沟通协调  ；
3、负责选品文案卖点的提炼和撰写，配合电商运营人员产出合格文案 ； 
4、负责公众号平台内容的分发、编辑和上传  ；
5、负责公众号文章的白名单审核、开白等工作  ；
6、负责数据分析整理等其他部门负责人交予的其他工作  。",本科,1,2025-07-01 13:28,中南博集天卷,101~300人,北京,广告|传媒|文化|体育
营销编辑实习生,100-120元/天,3个月,"岗位职责：
1、协助编辑图书在传统媒体及新媒体的宣传推广工作，包括营销文案、书讯、书评等撰写；
2、配合组织实施新书发布会、读者见面会、新书签售等市场活动。
3、配合部门进行脚本撰写、剪辑拍摄视频。
4、纯实习，无转正机会。",本科,1,2025-07-01 13:28,中南博集天卷,101~300人,北京,广告|传媒|文化|体育
岗位名称,薪资待遇,实习时长,工作描述,学历要求,招聘人数,发布时间,公司名称,公司规模,工作地点,企业领域
线上运营志愿者（长期）,面议,3个月,"1. 后台投稿处理，及文章排版工作（公众号文章排版）
2. 作者相关工作：文章授权、作者要约和沟通
3. 网站运营相关工作：问答内容准备、文章评论等
4. 其他内容相关工作",大专,2,2025-07-03 17:41,人人都是产品经理,101~300人,广东,教育培训
信审实习生,150-180元/天,6个月,"1. 协助信审团队，对融资租赁项目涉及的企业资料进行信息梳理与核对，确保资料完整、数据准确；
2. 在公开平台进行信息查询与搜集，整理并总结关键内容，用于企业资质评估；
3. 完成上级交办的其他临时工作，协助团队推进日常业务。",本科,1,2025-07-02 12:07,亿多世,101~300人,广东,金融
市场实习生,150-200元/天,3个月,"1、根据项目特点撰写宣传文案；
2、能够进行英文资料翻译和日常的语言沟通；
3、配合完成项目相关的落地活动执行；
4、配合完成演出项目相关的营销策划；",本科,2,2025-07-04 10:09,四海一家,11~50人,北京,广告|传媒|文化|体育
棕榈资本2025实习生转正名额等你锁定！【投资实习生/分析师 - AI方向150/天】,145-150元/天,3个月,"【工作内容】

1、深度参与并挖掘早期AI创业项目，参与项目筛选或细分赛道的行业mapping与分析
2、与创业者、行业专家交流，一线感知AI创业和融资温度
3、完成行业研究，bp，datapack等融资相关材料",本科,5,2025-07-03 13:04,棕榈资本,11~50人,上海,金融
人力资源/hrbp实习生,50-100元/天,3个月,"1. 负责完成公司的招聘目标，快速满足各部门的招聘需求；
2. 每天开拓和维护各类招聘渠道，策划招聘文案，运营招聘维护公众号；
3. 候选人电话联系交流。",本科,5,2025-07-04 11:56,腾讯,3001人及以上,北京,互联网|游戏|软件
Intern – Recruiting Associate/招聘顾问,140-150元/天,4个月,"- Collaboration with the Associate team to support the project execution that allow us to produce talent & market analysis reports. Successfully managing projects will require excellent organization, documentation, and communication skills, and the ability to manage the process within a diversified team. Daily tasks will focus on organization, configuration, and documentation. 
协助团队参与项目，完成初步的人才市场分析报告。一个成功的项目需要良好的组织，书面报告制作，和沟通的能力，并且可以与不同的团队建立良好的合作关系。
- The Intern-Researcher Analyst works within the Associate team and reports to the different project leaders; collaborating across the different project teams working on Project Management, Talent Mapping, Market Analysis, and Data Collecting.
招聘顾问需要在日常工作中支持不同的项目负责人；参与并协作不同的管理、人才分析、市场分析和数据收集项目。",本科,1,2025-07-01 15:12,Amrop,1001~3000人,上海,咨询/法律/人力资源
Industry Research Assistant Intern,100-150元/天,长期,"Location: Shanghai or Hong Kong
Internship Type: Part-time (no less than 3 days per week)
Potential for Full-Time Offer: Yes

About the Role
We are seeking a highly motivated and detail-oriented Industry Research Assistant Intern to join our team. In this role, you will support our industry research team in organizing and analyzing internal data, understanding industry-specific nuances, and contributing to project reporting. This internship offers hands-on experience in industry analysis and talent research, with opportunities to participate in client meetings and candidate interviews.

Key Responsibilities
1. Assist the industry research team in organizing and updating internal data.
2. Analyze data to identify trends and insights across different industries.
3. Support the preparation of project reports and provide suggestions for improvement.
4. Participate in industry research projects, including client meetings and conversations with potential candidates.
5. Help compile and refine research findings into structured reports.
6. Demonstrate a strong interest in pursuing a long-term career in the talent advisory industry.",本科,2,2025-07-01 16:28,Amrop,1001~3000人,上海,咨询/法律/人力资源
新媒体实习生,150-200元/天,长期,"负责微信、微博、抖音、B站等自媒体平台的日常运营及推广工作；
思维敏捷、活跃，具有敏锐捕捉热点事件，策划热点事件能力，为粉丝策划与提供优质、有高度传播性的内容；
能够在知乎、微博、天涯、豆瓣、微信等各类互联网的论坛/社群与会员粉丝进行日常互动；
负责新媒体运营数据的统计汇总和分析，总结经验与策略调整。
定期策划热点话题及站内站外的线上活动；
负责公司线上品牌建设工作，包括品牌定位、品牌策略、品牌创意及宣传等；",本科,2,2025-07-04 10:09,四海一家,11~50人,北京,广告|传媒|文化|体育
实习编辑,100-120元/天,3个月,"1、负责公众号的内容排版，配图，等一应相关执行类工作；  
2、负责电商店铺的售前、售后等客服工作，在消费者和供应商之间做好沟通协调  ；
3、负责选品文案卖点的提炼和撰写，配合电商运营人员产出合格文案 ； 
4、负责公众号平台内容的分发、编辑和上传  ；
5、负责公众号文章的白名单审核、开白等工作  ；
6、负责数据分析整理等其他部门负责人交予的其他工作  。",本科,1,2025-07-01 13:28,中南博集天卷,101~300人,北京,广告|传媒|文化|体育
营销编辑实习生,100-120元/天,3个月,"岗位职责：
1、协助编辑图书在传统媒体及新媒体的宣传推广工作，包括营销文案、书讯、书评等撰写；
2、配合组织实施新书发布会、读者见面会、新书签售等市场活动。
3、配合部门进行脚本撰写、剪辑拍摄视频。
4、纯实习，无转正机会。",本科,1,2025-07-01 13:28,中南博集天卷,101~300人,北京,广告|传媒|文化|体育
短视频编导实习生,100-120元/天,3个月,"1、负责公司抖音、快手等短视频账号运营、选题策划、脚本创作、视频发布，并跟拍跟剪工作；
2、负责高效产出垂类热点视频内容，提高账号粉丝量和粉丝粘性，策划爆款短视频内容；
3、负责主播IP打造，基于主播特点产出创意脚本，形成特色内容；
4、拍摄现场把控指导，协助后期人员，对短视频质量负责；
5、完成领导安排的其他工作。",本科,2,2025-07-01 13:28,中南博集天卷,101~300人,北京,广告|传媒|文化|体育
体育实习生,148-150元/天,3个月,"1，APP页面推荐更新
2，体育相关赛事直播内容运营（足球、篮球、乒乓等）
3，自制节目运营上线
4，赛后点播内容上线（拆条/集锦/夺冠时刻/采访/全场回看）
5，预热物料准备、赛果后相关物料制作
6，配合完成赛事相关的线上活动策划及执行
7，其他赛事相关的一系列工作",本科,5,2025-07-01 13:48,咪咕视讯,1001~3000人,上海,互联网|游戏|软件
行政实习生,120-150元/天,3个月,"1、接待来访客户和员工，并提供必要的支持和帮助
2、处理电话的沟通，解答各种问题。
3、管理公司矿泉水等必要物品的购买，帮助同事寄收国内外快递，并进
行登记。
4、收整仓库，进行办公用品的归纳登记
5、部分员工的工资核对与登记
6、帮助开具发票
7、完成其他相关行政工作，如资料整理等",大专,2,2025-06-27 14:26,苏州聚聘,51~100人,江苏,互联网|游戏|软件
奇绩创坛-创业者关系,240-360元/天,3个月,"工作地点：上海-漕河泾 
工作性质：实习，线上&线下均可（优先线下）  
奇绩创坛是由前百度总裁陆奇博士创立的早期创投加速器。致力于帮助创业者实现从0到1的突破，在源头上最大化地驱动创新；关注人工智能，芯片，机器人，生物科技等方向。LP包括红杉中国、软银、京东等知名机构。  

【工作内容】 
1. 与前沿创业者沟通交流，为创业者传递奇绩的理念与价值； 
2. 关注搜集AI/Robotics/BioTech/Chiplet等方向的资讯，以及相关学者，研          究人员或行业专家
3. 有机会参与尽职调查，项目访谈等辅助项目筛选的工作；  
4. 有机会参与部门内的各项支持性工作。",本科,6,2025-07-04 09:42,奇绩创坛,51~100人,北京,金融
奇绩创坛-创业者关系(FR),240-360元/天,3个月,"工作地点：北京五道口
工作性质：社招&实习均可，线上&线下均可（优先线下）

奇绩创坛是由前百度总裁陆奇博士创立的早期创投加速器。致力于帮助创业者实现从0到1的突破，在源头上最大化地驱动创新。

【工作内容】
1.通过各种方式与创业者建立联系，为创业者传递奇绩的理念与价值，发掘并推荐优秀创业项目；
2.有机会参与行业研究，尽职调查，项目访谈等辅助项目筛选的工作；
3.有机会参与奇绩创业营运营，创业者社区搭建等多元化工作；
4.有机会参与部门内的各项支持性工作。",本科,6,2025-07-04 09:42,奇绩创坛,51~100人,北京,金融
智谱校园大使,1-2K/月,1个月,"1.通过校园渠道，建立人工智能学习微信社群；
2.社群运营，策划社群内活动，宣传智谱相关内容。；
3.联动计算机相关专业协会或院校，举办智谱工作坊，人工智能分享类活动",本科,100,2025-07-01 17:47,智谱华章,51~100人,北京,互联网|游戏|软件
PR实习生,140-160元/天,3个月,"上市以来，凡科通过为企业用户 提供多元、高效、易用的互联网工具，已帮助了越来越多的企业有效降低了运营成本。随着凡科规模的进一步扩大，我们期待着更多新鲜血液的加入！

现需要招聘PR实习生，为此，我们声明如下！
☆ 弹性打卡，节假日前错峰上下班，享受假期
☆ 仪式满满的节日活动，感受节日氛围
☆ 羽毛球、篮球、足球等每周体育活动一起嗨，给健康加满分
☆ 美味下午茶，减肥是不可能的了

「你将会负责」
1、协助处理各类侵权事件；
2、监控品牌信息曝光情况及论坛、问答平台、自媒体等网络媒体的舆情情况；
3、正确引导舆论方向，对舆情内容进行内、外部沟通查实以及相应的处理；
4、协助日常重要访客的接待工作；
5、完成公司安排的其他工作。",大专,1,2025-06-30 19:00,凡科,301~1000人,广东,互联网|游戏|软件
